Id,Name,Tel,Add,Px,Py
109,員山公園,886-2-29603456,新北市235中和區員山路455巷,121.48009,25.00415
110,興南夜市,886-2-22765006,新北市235中和區信義街、景新街410巷,121.51073,24.98997
111,海山神社遺跡,886-2-22482688,新北市235中和區員山路455巷員山公園內,121.47891,25.00473
112,漳和濕地,886-2-29679414,新北市235中和區漳和濕地,121.48551,24.99109
113,綠寶石河濱公園,886-2-89699596,新北市234永和區綠寶石河濱公園,121.50496,25.01526
114,世界宗教博物館,886-2-82316118,新北市234永和區中山路一段236號7樓,121.50781,25.00796
115,保福宮,886-2-29227524,新北市234永和區仁愛路202巷11號,121.5087,25.01312
116,大香山,886-2-29603456,新北市231新店區大香山,121.56333,24.96098
117,雙溪渡船頭,886-2-24931111,新北市227雙溪區長安街尾,121.86475,25.03476
118,芝蘭公園(芝蘭觀景平台),886-2-26362111,新北市252三芝區,121.47253,25.25412
119,後厝漁港,886-2-29603456,新北市252三芝區,121.47426,25.25566
120,三貂嶺生態友善隧道,886-2-24933782,新北市227雙溪區雙溪牡丹和瑞芳三貂嶺交接處,121.84301,25.05683
121,猴硐壺穴,886-2-29603456#4716,新北市224瑞芳區猴硐壺穴,121.82486,25.07954
122,野柳保安宮,886-2-24925659,新北市207萬里區港東路69號,121.68803,25.20443
123,螃蟹主題公園,886-2-4922064 ,新北市207萬里區新北市萬里區漁澳路2號,121.68677,25.19485
124,公司田溪自行車道,886-2-26221020,新北市251淡水區公司田溪自行車道,121.44373,25.19023
125,牡丹老街,886-2-24931111,新北市227雙溪區牡丹老街,121.85073,25.05881
126,高家繡球花田-第三園區,886-9-30956271,新北市207萬里區新北市萬里區大坪路32-6號,121.6316,25.17133
127,卡滋爆米花,886-2-86303886,新北市249八里區觀海大道171號,121.42265,25.16183
128,白馬寺,886-2-29426228,新北市235中和區興南路三段40巷26號,121.4947,24.97849
129,板橋慈惠宮,886-2-29650014,新北市220板橋區挹秀里1鄰府中路81號,121.45743,25.0094
130,雲門劇場,886-2-26298558,新北市251淡水區中正路一段6巷36號,121.42932,25.18017
131,瑞芳風景特定區,886-2-24972250,新北市224瑞芳區汽車路89號,121.84345,25.10981
132,淡水金色水岸,886-2-29603456,新北市251淡水區環河道路,121.44375,25.16786
133,多田榮吉故居,886-2-26282865,新北市251淡水區馬偕街19號,121.4374,25.17323
134,猴硐車站,886-2-24977747,新北市224瑞芳區猴硐柴寮路70號,121.82753,25.0868
135,三峽染工坊暨三峽藍染中心,886-2-86713108,新北市237三峽區中山路20巷3號(歷史文物館旁),121.36923,24.93447
136,無極真元天壇(天元宮),"886-2-26212759,886226219159",新北市251淡水區北新路3段36號,121.48609,25.18566
137,板橋後站商圈(府中商圈),886-2-29686911,新北市220板橋區,121.46031,25.00836
138,新板特區,886-2-29686911,新北市220板橋區(板橋火車站周邊),121.46687,25.01243
139,燭臺雙嶼,886-2-24988980,新北市208金山區獅頭山公園海濱,121.6545,25.23284
140,大尖山風景區,886-2-26411111,新北市221汐止區大尖山,121.66498,25.05303
141,深坑老街,886-2-26623116,新北市222深坑區深坑老街,121.61417,25.00143
142,皇帝殿登山步道,886-2-29603456,新北市223石碇區106乙縣道,121.69581,25.00678
143,陰陽海,886-2-24961588,新北市224瑞芳區水湳洞,121.86412,25.12294
144,菁桐老街,886-2-24951510,新北市226平溪區菁桐街,121.72329,25.02378
145,澳底漁港,886-2-24991210,新北市228貢寮區真理里,121.92651,25.05747
146,東北角暨宜蘭海岸國家風景區,886-2-24991115,新北市228貢寮區福隆里興隆街36號,121.94255,25.01718
147,坪林老街,886-2-26657251,新北市232坪林區坪林街,121.712,24.93639
148,烏來吊橋,886-2-26616442,新北市233烏來區烏來立體停車場(烏來老街旁),121.55166,24.86552
149,烏來紅河谷,886-2-29603456,新北市233烏來區紅河谷,121.54034,24.88435
150,烏來風景區,886-2-26616355,新北市233烏來區烏來街45號之1(烏來遊客中心),121.55198,24.86493
151,瑞芳火車站,886-2-24972174,新北市224瑞芳區龍潭里明燈路三段82號,121.80597,25.10875
152,烘爐地登山步道,886-2-22482688,新北市235中和區興南路,121.50488,24.97006
153,太極嶺,886-2-22732000,新北市236土城區石門路85-1號(山中湖餐廳)旁,121.46361,24.95414
154,鳶山登山步道,886-2-26711017,新北市237三峽區鳶山,121.35418,24.93018
155,石碇老街,886-2-26631080,新北市223石碇區石碇東街,121.66051,24.99089
156,甘樂文創展演空間,886-2-26717090,新北市237三峽區民權街84巷12之1號,121.369,24.93327
157,八里左岸自行車道,886-2-89699596,新北市249八里區左岸,121.44295,25.15135
158,蘆洲廟口夜市(形象商圈),886-2-22811484,新北市247蘆洲區得勝街96號,121.47164,25.08336
159,關渡大橋,886-2-26187888,新北市249八里區龍米路一段170號,121.45747,25.12572
160,觀海長堤,886-2-26102621,新北市249八里區挖子尾,121.41664,25.16897
161,前清英國領事官邸,886-2-26231001,新北市251淡水區中正路28巷1號,121.4335,25.17535
162,紅樹林自然保留區,886-3-9545114,新北市251淡水區紅樹林,121.45563,25.15685
163,淡水漁人舞台,886-2-26221020,新北市251淡水區觀海路83號,121.41486,25.18172
164,三芝田心子,886-2-26362111,新北市252三芝區興華里奎柔山路(北八鄉道4.5公里處),121.49116,25.20576
165,富基漁港,886-2-28058476,新北市253石門區楓林路15號,121.5353,25.2926
166,板橋435藝文特區,886-2-29690366,新北市220板橋區中正路435號,121.45252,25.02404
167,八二三紀念公園(中和公園),886-2-22482688,新北市235中和區中安街、安樂路、安平路及永貞路間,121.51404,25.00316
